Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.","watching movies",positive,Positive
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.","creating presentations",positive,Positive
"Despite the inconvenient weight, I opted for the 12 cell battery.",weight,conflict,Negative
"Despite the inconvenient weight, I opted for the 12 cell battery.","12 cell battery",positive,Neutral
"The case is carved out of a single block of aluminum.",case,neutral,Positive
"the features are great, the only thing it needs is better speakers.",features,positive,Positive
"the features are great, the only thing it needs is better speakers.",speakers,negative,Negative
"It was still working, but there was nothing on the screen.",screen,negative,Negative
"I bought this laptop and found its TAB is not functioning.",TAB,negative,Negative
"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).","TFT panel",negative,Negative
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Navigation,positive,Positive
"Navigation through the computer is far superior compared to Windows operating systems, as well.","Windows operating systems",negative,Negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,negative,Negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.","screen size",negative,Negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,negative,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.","music software",negative,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,positive,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,negative,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",video,negative,Negative
"The much lauded combined touch pad and clicker is a nightmare.","combined touch pad and clicker",negative,Negative
"The Unibody construction is solid, sleek and beautiful.","Unibody construction",positive,Positive
"This MacBook is an outstanding product with great value.",value,positive,Positive
"I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.",Windows,negative,Negative
"I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.","screen hinges",negative,Negative
"A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.",BATTERY,negative,Negative
"A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.","STORAGE LIFE",conflict,Negative
"A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.",SERVICE,negative,Negative
"and plenty of storage with 250 gb(though I will upgrade this and the ram..)",storage,positive,Positive
"and plenty of storage with 250 gb(though I will upgrade this and the ram..)",ram,neutral,Neutral
"No temporary replacement, they are out of replacements because "many computers had problems with the Nvidia chipset"-Inquired status of repair.","Nvidia chipset",negative,Negative
"I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.","extended warranty",neutral,Negative
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,negative,Negative
"I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS","CHARGE TIME",negative,Negative
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,negative,Negative
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,negative,Negative
"the key bindings take a little getting used to, but have loved the Macbook Pro.","key bindings",negative,Negative
"Keyboard is reasonable size.",Keyboard,positive,Positive
"Keyboard is reasonable size.",size,positive,Positive
